numentre,satis_dem,creenciasS,etnia,estrato,partido_pol,conf_inst
1,3,1,2,3,0,"7,75"
2,3,1,2,4,0,"8,875"
3,3,1,2,3,0,"8,3125"
4,3,1,2,3,30,10
5,4,3,2,5,30,10
6,4,3,2,4,30,"6,625"
7,3,1,6,3,0,"4,375"
8,3,1,6,3,0,"6,0625"
9,3,3,5,3,30,10
10,3,3,5,4,0,"9,4375"
11,3,2,4,3,30,"3,25"
12,3,3,2,2,30,"7,75"
13,3,1,2,2,0,"7,75"
14,2,2,2,2,0,"5,5"
15,4,1,2,5,0,"9,4375"
17,4,1,2,4,0,10
18,4,1,2,4,0,10
19,3,1,4,5,30,"9,4375"
20,4,1,2,1,30,10
21,1,2,5,1,30,10
22,3,3,4,3,0,"7,75"
23,3,1,4,3,30,10
24,3,1,2,5,30,"8,3125"
25,3,2,7,2,0,10
26,4,3,4,4,0,10
27,3,3,4,4,0,10
28,4,1,4,3,50,"8,3125"
29,3,1,4,3,0,10
30,3,1,3,4,30,"7,75"
31,3,1,3,5,0,"8,3125"
32,3,2,2,3,0,"6,625"
33,2,1,4,4,0,10
34,4,1,2,3,0,10
35,4,3,2,2,30,10
36,4,3,2,5,0,10
37,4,2,2,4,30,10
38,2,3,2,3,30,"9,4375"
39,3,1,4,3,0,"8,875"
40,4,3,2,4,0,"8,875"
42,4,3,4,4,0,10
43,3,1,4,3,0,"8,3125"
44,2,3,7,4,0,"8,3125"
45,3,3,6,5,0,"9,4375"
46,3,1,2,3,0,"6,625"
48,4,1,2,2,0,10
49,3,3,3,3,0,10
50,4,3,4,4,30,10
51,1,1,3,2,30,"7,75"
52,1,1,2,3,0,"7,75"
56,3,1,4,4,30,"7,75"
57,3,1,4,5,30,"8,3125"
60,3,2,2,1,30,"6,625"
61,2,2,4,3,0,"4,375"
62,1,1,6,3,30,"9,4375"
63,3,3,4,4,0,10
64,4,1,6,5,30,"9,4375"
65,4,2,6,4,0,"8,3125"
67,1,3,4,3,50,"4,9375"
68,4,1,2,3,50,"7,1875"
69,3,3,4,1,0,"8,875"
71,4,3,5,4,0,10
72,1,3,4,3,50,"8,875"
73,3,1,2,5,0,"8,875"
74,4,1,5,3,0,"7,75"
75,4,2,6,1,30,10
76,4,3,4,4,0,10
77,3,3,2,4,0,"8,875"
78,4,3,4,4,30,10
79,3,1,4,3,30,10
80,1,1,5,5,30,"5,5"
81,4,3,2,4,0,10
82,3,2,4,4,0,"8,875"
83,4,1,4,5,30,"8,3125"
84,4,3,4,3,0,10
85,3,1,5,3,50,"6,625"
87,3,1,5,1,0,10
88,4,1,2,5,30,"8,875"
89,3,1,4,3,30,"5,5"
90,1,2,4,5,30,10
93,4,3,5,2,0,"8,875"
95,4,3,4,3,0,"8,875"
96,1,3,5,3,30,10
97,3,3,2,4,30,10
98,3,3,5,3,0,"7,75"
99,4,3,5,2,0,"8,875"
100,3,1,7,4,0,10
101,3,2,6,3,30,"8,875"
102,3,1,4,3,0,10
103,1,1,2,4,0,"8,3125"
104,3,1,4,4,0,"8,3125"
105,2,1,2,3,30,"8,3125"
106,4,2,6,4,30,10
107,4,2,2,3,0,"8,3125"
108,2,1,6,3,30,"5,5"
109,2,3,4,5,0,"9,4375"
110,3,1,4,4,30,"9,4375"
111,4,3,4,1,0,10
112,3,2,4,3,30,"9,4375"
113,4,2,4,5,0,10
114,4,1,4,3,0,"8,875"
